ticker,cik,sic,sic_description,status
SHQA,,,,cik_not_found
SHUA,,,,cik_not_found
SICP,,,,cik_not_found
SIDU,0001879726,4812,Radiotelephone Communications,ok
SIER,,,,cik_not_found
SILK,,,,cik_not_found
SIMA,0002014982,6770,Blank Checks,ok
SITM,0001451809,3674,Semiconductors & Related Devices,ok
SKGR,,,,cik_not_found
SKK,0001991261,1623,"Water, Sewer, Pipeline, Comm & Power Line Construction",ok
SKWD,0001519449,6331,"Fire, Marine & Casualty Insurance",ok
SKYX,0001598981,3640,Electric Lighting & Wiring Equipment,ok
SLE,0001621672,7373,Services-Computer Integrated Systems Design,ok
SLQT,0001794783,6411,"Insurance Agents, Brokers & Service",ok
SLRN,,,,cik_not_found
SLVR,,,,cik_not_found
SMAP,,,,cik_not_found
SMFL,,,,cik_not_found
SMMC,,,,cik_not_found
SMXT,0001519472,1700,Construction - Special Trade Contractors,ok
